adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0001177017-18-000125	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001193125-18-288062	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001193125-18-289152	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001193125-18-289158	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000583	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000645	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000657	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000670	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000696	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001162044-18-000697	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065033	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065081	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065094	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065340	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065821	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-066362	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-060724	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-060965	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
